Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Senegal,SEN,Sub-Saharan Africa,West Africa,,"Mame Madior Boye (March 3, 2001 to November 4, 2002), Aminata Toure (September 1, 2013 to July 8, 2014)","Mame Madior Boye, Aminata Toure",2,21.88,82,43.03,12,-1,-1,47.56,5,49.4,21
Serbia,SRB,Europe,Southeastern Europe,Ana Brnabic,"Ana Brnabic (June 29, 2017 to Incumbent)",Ana Brnabic (current),1,19.05,97,38.80,24,-1,-1,31.21,43,34.2,59
Seychelles,SYC,Sub-Saharan Africa,East Africa,, ,,0,45.45,18,21.21,98,26.32,53,-2,-2,36.5,53
Sierra Leone,SLE,Sub-Saharan Africa,West Africa,, ,,0,17.24,108,12.33,160,12.58,91,18.20,87,14.3,142
Singapore,SGP,Asia and the Pacific,South Asia,Halimah Yacob,"Halimah Yacob (September 14, 2017 to Incumbent)",Halimah Yacob (current),1,16.67,109,29.47,58,-1,-1,-2,-2,22.0,101
Slovakia,SVK,Europe,Eastern Europe,Zuzana Caputova,"Iveta Radicova (July 8, 2010 to April 4, 2012), Zuzana Caputova (June 15, 2019 to Incumbent)","Iveta Radicova, Zuzana Caputova (current)",2,26.67,55,20,108,23.10,60,25.91,70,26.1,86
Slovenia,SVN,Europe,Southeastern Europe,,"Alenka Bratusek (March 20, 2013 to September 18, 2014)",Alenka Bratusek,1,23.53,71,22.31,94,44.19,7,33.65,33,38.3,45
Solomon Islands,SLB,Asia and the Pacific,Australasia and Pacific,, ,,0,5.00,174,6.12,180,7.81,107,-1,-1,5.1,186
Somalia,SOM,Sub-Saharan Africa,East Africa,, ,,0,18.52,98,24.32,82,-1,-1,-2,-2,18.3,118
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,, ,,0,48.28,15,45.43,11,-1,-1,40.73,17,61.3,9
South Sudan,SSD,Sub-Saharan Africa,East Africa,, ,,0,15.63,115,26.56,72,-1,-1,-1,-1,18.2,119
Spain,ESP,Europe,Western Europe,, ,,0,66.67,1,41.86,15,-1,-1,38.49,24,58.7,11
Sri Lanka,LKA,Asia and the Pacific,South Asia,,"Sirimavo Bandaranaike (July 21, 1960 to March 27, 1965), Sirimavo Bandaranaike (May 29, 1970 to July 23, 1977), Chandrika Kumaratunga (November 12, 1994 to November 19, 2005)","Sirimavo Bandaranaike, Chandrika Kumaratunga",2,6.25,170,5.33,183,-1,-1,10.89,110,17.1,129
Sudan,SDN,Sub-Saharan Africa,East Africa,, ,,0,20.00,92,-2,-2,-2,-2,-2,-2,12.5,157
Suriname,SUR,Americas,South America,, ,,0,17.65,101,29.41,59,-1,-1,35.59,26,29.6,71
Sweden,SWE,Europe,Northern Europe,, ,,0,54.55,1,46.99,7,43.50,8,43.84,12,68.7,3
Switzerland,CHE,Europe,Western Europe,Simonetta Sommaruga,"Ruth Dreifuss (January 1, 1999 to December 31, 1999), Micheline Calmy-Rey (January 1, 2007 to December 31, 2007), Doris Leuthard (January 1, 2010 to December 31, 2010), Micheline Calmy-Rey (January 1, 2011 to December 31, 2011), Eveline Widmer-Schlumpf (January 1, 2012 to December 31, 2012), Simonetta Sommaruga (January 1, 2015 to December 31, 2015), Doris Leuthard (January 1, 2017 to December 31, 2017), Simonetta Sommaruga (January 1, 2020 to Incumbent)","Ruth Dreifuss, Micheline Calmy-Rey, Doris Leuthard, Eveline Widmer-Schlumpf, Simonetta Sommaruga (current)",5,42.86,21,38.62,25,40.32,18,31.30,42,52.5,17
Syria,SYR,Middle East and North Africa,Middle East,, ,,0,13.33,128,11.20,164,12.08,93,7.09,120,9.9,171
Tajikistan,TJK,Russia and Central Asia,Central Asia,, ,,0,5.88,173,23.40,86,19.92,72,-1,-1,15.5,139
Thailand,THA,Asia and the Pacific,South Asia,,"Yingluck Shinawatra (July 3, 2011 to May 7, 2014)",Yingluck Shinawatra,1,0,182,13.94,150,22.27,63,17.35,90,14.0,145
Togo,TGO,Sub-Saharan Africa,West Africa,, ,,0,24.00,70,18.68,123,-1,-1,-2,-2,18.2,119
Tonga,TON,Asia and the Pacific,Australasia and Pacific,, ,,0,8.33,156,7.41,176,17.44,78,-2,-2,9.6,174
Trinidad and Tobago,TTO,Americas,Caribbean,Paula-Mae Weekes,"Kamla Persad-Bissessar (May 26, 2010 to September 9, 2015), Paula-Mae Weekes (March 19, 2018 to Incumbent)","Kamla Persad-Bissessar, Paula-Mae Weekes (current)",2,33.33,35,34.25,42,-1,-1,-1,-1,37.9,46
Tunisia,TUN,Middle East and North Africa,North Africa,, ,,0,6.90,165,24.88,80,-1,-1,48.49,3,33.7,60
Turkey,TUR,Europe,Southeastern Europe,,"Tansu Ciller (June 13, 1993 to March 6, 1996)",Tansu Ciller,1,11.76,137,17.32,131,21.52,66,10.14,114,15.3,140
Turkmenistan,TKM,Russia and Central Asia,Central Asia,, ,,0,3.70,179,25,77,-1,-1,21.93,80,16.3,134
Tuvalu,TUV,Asia and the Pacific,Australasia and Pacific,, ,,0,0.00,182,6.25,179,6.25,110,10.42,113,5.0,187
Uganda,UGA,Sub-Saharan Africa,East Africa,, ,,0,33.33,35,34.86,38,28.28,48,45.69,7,45.4,26
Ukraine,UKR,Europe,Eastern Europe,,"Yulia Tymoshenko (January 24, 2005 to September 6, 2005), Yulia Tymoshenko (December 18, 2007 to March 3, 2010)",Yulia Tymoshenko,1,35.29,33,20.80,103,22.54,61,-1,-1,28.5,79
United Arab Emirates,ARE,Middle East and North Africa,Middle East,, ,,0,16.67,109,50.00,1,36.61,23,-2,-2,44.5,28
United Kingdom,GBR,Europe,Western Europe,,"Margaret Thatcher (May 4, 1979 to November 28, 1990), Theresa May (July 13, 2016 to July 24, 2019)","Margaret Thatcher, Theresa May",2,30.43,49,29.97,54,33.77,31,34.25,30,42.8,31
Tanzania,TZA,Sub-Saharan Africa,Southern Africa,, ,,0,21.74,84,36.90,31,19.04,73,30.06,46,30.6,66
United States,USA,Americas,North America,, ,,0,17.39,104,23.73,84,-1,-1,-1,-1,17.4,128
Uruguay,URY,Americas,South America,, ,,0,33.33,35,23.08,88,-1,-1,26.13,67,28.9,76
Uzbekistan,UZB,Russia and Central Asia,Central Asia,, ,,0,8.00,158,29.15,61,41.33,14,-1,-1,30.1,67
Vanuatu,VUT,Asia and the Pacific,Australasia and Pacific,, ,,0,0,182,0,188,-1,-1,9.45,116,2.6,191
Venezuela,VEN,Americas,South America,, ,,0,23.53,71,22.16,95,37.30,22,-1,-1,29.7,70
Vietnam,VNM,Asia and the Pacific,South Asia,, ,,0,0,182,26.72,70,38.97,21,26.79,62,27.4,84
Yemen,YEM,Middle East and North Africa,Middle East,, ,,0,6.25,170,0.97,187,1.04,116,0.52,130,1.9,192
Zambia,ZMB,Sub-Saharan Africa,Southern Africa,, ,,0,32.26,43,16.77,134,16.28,80,7.14,119,19.0,117
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,, ,,0,20.83,90,34.57,40,14.71,85,12,109,22.0,101
