Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Cyprus,12/1/11,-0.60,-0.016828027,-1.106021253
Cyprus,3/1/12,-2.70,-0.036885931,-1.026634549
Cyprus,6/1/12,-3.50,-0.044886459,-0.947247845
Cyprus,9/1/12,-2.70,-0.035902635,-0.867861141
Cyprus,12/1/12,-3.90,-0.046768519,-0.788474437
Cyprus,3/1/13,-9.10,-0.099562736,-0.864662983
Cyprus,6/1/13,-4.10,-0.050639407,-0.94085153
Cyprus,9/1/13,-5.20,-0.062414769,-1.017040076
Cyprus,12/1/13,-5.90,-0.070294519,-1.093228622
Cyprus,3/1/14,0.30,-0.006858513,-0.95751236
Cyprus,6/1/14,-3.00,-0.03811253,-0.821796099
Cyprus,9/1/14,-0.80,-0.014397197,-0.686079837
Cyprus,12/1/14,-1.20,-0.017432243,-0.550363576
Cyprus,3/1/15,2.10,0.020542973,-0.025322483
Cyprus,6/1/15,3.80,0.042716122,0.49971861
Cyprus,9/1/15,3.80,0.047904215,1.024759703
Cyprus,12/1/15,5.70,0.072201477,1.549800796
Cyprus,3/1/16,5.20,0.069507527,1.717292078
Cyprus,6/1/16,5.50,0.07350883,1.884783359
Cyprus,9/1/16,5.10,0.071082114,2.052274641
Cyprus,12/1/16,5.80,0.080584783,2.219765922
Cyprus,3/1/17,2.90,0.053433123,2.428759599
Cyprus,6/1/17,2.80,0.05474225,2.637753276
Cyprus,9/1/17,4.00,0.068512319,2.846746952
Cyprus,12/1/17,1.80,0.04899803,3.055740629
Cyprus,3/1/18,3.80,0.069286953,3.09333489
Cyprus,6/1/18,3.70,0.068703342,3.130929151
Cyprus,9/1/18,-1.50,0.016311913,3.168523412
Cyprus,12/1/18,-2.40,0.007717845,3.206117673
Cyprus,3/1/19,-0.70,0.023851879,3.132192259
Cyprus,6/1/19,-0.50,0.025200799,3.058266846
Cyprus,9/1/19,#N/A,#N/A,2.984341433
Cyprus,12/1/19,#N/A,#N/A,2.910416019
Cyprus,3/1/20,#N/A,#N/A,#N/A
Cyprus,6/1/20,#N/A,#N/A,#N/A
Cyprus,9/1/20,#N/A,#N/A,#N/A
Cyprus,12/1/20,#N/A,#N/A,#N/A
Denmark,3/1/99,#N/A,#N/A,#N/A
Denmark,6/1/99,#N/A,#N/A,#N/A
Denmark,9/1/99,#N/A,#N/A,#N/A
Denmark,12/1/99,#N/A,#N/A,#N/A
Denmark,3/1/00,#N/A,0.03728305,#N/A
Denmark,6/1/00,#N/A,0.032593757,#N/A
Denmark,9/1/00,#N/A,0.039439613,#N/A
Denmark,12/1/00,#N/A,0.045001688,#N/A
Denmark,3/1/01,-0.70,0.015273229,2.22738208
Denmark,6/1/01,-1.20,0.009789535,2.22738208
Denmark,9/1/01,-0.70,0.015505521,2.22738208
Denmark,12/1/01,-2.20,0.000527658,2.22738208
Denmark,3/1/02,-2.10,0.000266868,2.106831886
Denmark,6/1/02,-0.50,0.014861118,1.986281693
Denmark,9/1/02,-1.40,0.004956359,1.8657315
Denmark,12/1/02,-2.20,-0.004206849,1.745181307
Denmark,3/1/03,-1.50,0.000668947,1.594768164
Denmark,6/1/03,-3.20,-0.01757934,1.44435502
Denmark,9/1/03,-1.80,-0.005093995,1.293941877
Denmark,12/1/03,0.30,0.014284832,1.143528733
Denmark,3/1/04,1.30,0.028515518,1.522834701
Denmark,6/1/04,2.10,0.040496479,1.902140669
Denmark,9/1/04,1.70,0.039936022,2.281446637
Denmark,12/1/04,0.90,0.03564739,2.660752605
Denmark,3/1/05,-0.50,0.021128061,2.624947986
Denmark,6/1/05,2.50,0.050854007,2.589143368
Denmark,9/1/05,1.20,0.037156328,2.553338749
Denmark,12/1/05,0.20,0.027589904,2.517534131
Denmark,3/1/06,2.80,0.050353655,2.226727203
Denmark,6/1/06,2.50,0.044790783,1.935920274
Denmark,9/1/06,2.90,0.045026784,1.645113346
Denmark,12/1/06,1.00,0.024042257,1.354306418
Denmark,3/1/07,0.80,0.021954032,1.420764147
Denmark,6/1/07,-2.10,-0.00570826,1.487221877
Denmark,9/1/07,0.00,0.015184005,1.553679606
Denmark,12/1/07,1.80,0.034190403,1.620137335
Denmark,3/1/08,-0.60,0.009372912,1.491634097
Denmark,6/1/08,0.80,0.021597563,1.363130858
Denmark,9/1/08,-0.50,0.007819249,1.23462762
Denmark,12/1/08,-4.10,-0.029522151,1.106124381
Denmark,3/1/09,-5.30,-0.044549991,0.811033169
Denmark,6/1/09,-8.20,-0.07705697,0.515941956
Denmark,9/1/09,-6.70,-0.064471026,0.220850743
Denmark,12/1/09,-3.80,-0.038716231,-0.074240469
Denmark,3/1/10,-0.10,0.002236209,0.322450368
Denmark,6/1/10,3.60,0.042876097,0.719141206
Denmark,9/1/10,2.60,0.037167137,1.115832043
Denmark,12/1/10,1.30,0.028322659,1.512522881
Denmark,3/1/11,0.90,0.017123789,0.802655921
Denmark,6/1/11,-0.50,-0.00381942,0.092788962
Denmark,9/1/11,-1.90,-0.024717534,-0.617077997
Denmark,12/1/11,-0.40,-0.01707215,-1.326944956
Denmark,3/1/12,-0.10,-0.009255384,-0.790813294
Denmark,6/1/12,0.40,0.001757577,-0.254681632
Denmark,9/1/12,1.10,0.013546853,0.28145003
Denmark,12/1/12,-0.60,0.002090182,0.817581692
Denmark,3/1/13,-0.70,0.002877306,0.956427015
Denmark,6/1/13,0.10,0.01207065,1.095272338
Denmark,9/1/13,0.00,0.011873263,1.234117661
Denmark,12/1/13,0.10,0.014276256,1.372962983
Denmark,3/1/14,1.20,0.026790047,1.477454021
Denmark,6/1/14,-0.60,0.009650186,1.58194506
