Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Australia,6/1/16,1,3.5,2.5
Australia,9/1/16,-0.3,2.1,2.4
Australia,12/1/16,0.5,2.9,2.3
Australia,3/1/17,-0.2,2.2,2.4
Australia,6/1/17,-0.2,2.2,2.4
Australia,9/1/17,0.7,3.2,2.5
Australia,12/1/17,-0.4,2.1,2.6
Australia,3/1/18,0.5,3,2.5
Australia,6/1/18,0.6,3.1,2.5
Australia,9/1/18,0.1,2.6,2.4
Australia,12/1/18,-0.3,2.1,2.4
Australia,3/1/19,-0.7,1.8,2.5
Australia,6/1/19,-1,1.6,2.6
Australia,9/1/19,-0.9,1.8,2.7
Australia,12/1/19,-0.7,2.2,2.9
Australia,3/1/20,#N/A,#N/A,#N/A
Austria,3/1/00,#N/A,5,#N/A
Austria,6/1/00,#N/A,3.8,#N/A
Austria,9/1/00,#N/A,2.4,#N/A
Austria,12/1/00,#N/A,2.5,#N/A
Austria,3/1/01,0.8,2.9,2.1
Austria,6/1/01,-0.8,1.3,2.1
Austria,9/1/01,-1.6,0.5,2.1
Austria,12/1/01,-1.6,0.5,2.1
Austria,3/1/02,-0.9,1.2,2.1
Austria,6/1/02,-0.6,1.5,2.1
Austria,9/1/02,0.2,2.2,2.1
Austria,12/1/02,-0.5,1.6,2.1
Austria,3/1/03,-1.5,0.6,2.2
Austria,6/1/03,-1.3,1,2.3
Austria,9/1/03,-1.3,1,2.4
Austria,12/1/03,-1.4,1.1,2.5
Austria,3/1/04,-0.4,2,2.4
Austria,6/1/04,0.4,2.7,2.3
Austria,9/1/04,1,3.3,2.3
Austria,12/1/04,0.7,3,2.2
Austria,3/1/05,-0.9,1.3,2.2
Austria,6/1/05,0.6,2.7,2.1
Austria,9/1/05,-0.1,2,2.1
Austria,12/1/05,0.8,2.9,2.1
Austria,3/1/06,2.5,4.5,2
Austria,6/1/06,0.7,2.7,2
Austria,9/1/06,1.2,3.1,1.9
Austria,12/1/06,1.8,3.6,1.9
Austria,3/1/07,2.1,4,1.9
Austria,6/1/07,2.4,4.4,1.9
Austria,9/1/07,1.5,3.4,2
Austria,12/1/07,1.1,3.1,2
Austria,3/1/08,1.4,3.3,1.8
Austria,6/1/08,0.4,2,1.7
Austria,9/1/08,0.2,1.7,1.5
Austria,12/1/08,-2.3,-1,1.3
Austria,3/1/09,-6,-5,1
Austria,6/1/09,-6.6,-5.9,0.8
Austria,9/1/09,-4.2,-3.7,0.5
Austria,12/1/09,-0.8,-0.6,0.2
Austria,3/1/10,-0.6,-0.1,0.5
Austria,6/1/10,1.6,2.4,0.8
Austria,9/1/10,1.6,2.7,1.1
Austria,12/1/10,0.8,2.2,1.4
Austria,3/1/11,4.2,5.6,1.3
Austria,6/1/11,2.4,3.6,1.3
Austria,9/1/11,0.8,1.9,1.2
Austria,12/1/11,-0.2,0.9,1.1
Austria,3/1/12,0.5,1.6,1.1
Austria,6/1/12,-1,0.2,1.2
Austria,9/1/12,-0.8,0.4,1.2
Austria,12/1/12,-0.7,0.5,1.3
Austria,3/1/13,-2.5,-1.2,1.3
Austria,6/1/13,-1.5,-0.3,1.2
Austria,9/1/13,-0.9,0.3,1.2
Austria,12/1/13,0,1.2,1.2
Austria,3/1/14,-0.4,0.9,1.3
Austria,6/1/14,-0.6,0.8,1.4
Austria,9/1/14,-1,0.5,1.5
Austria,12/1/14,-1.1,0.5,1.6
Austria,3/1/15,-0.8,0.7,1.5
Austria,6/1/15,-0.5,0.9,1.4
Austria,9/1/15,0.1,1.4,1.3
Austria,12/1/15,-0.1,1.1,1.2
Austria,3/1/16,1,2.2,1.2
Austria,6/1/16,1.1,2.2,1.2
Austria,9/1/16,0.4,1.5,1.2
Austria,12/1/16,1.2,2.3,1.1
Austria,3/1/17,1.7,3,1.3
Austria,6/1/17,1,2.4,1.4
Austria,9/1/17,0.9,2.4,1.5
Austria,12/1/17,0.4,2.1,1.7
Austria,3/1/18,1.7,3.4,1.7
Austria,6/1/18,0.6,2.3,1.7
Austria,9/1/18,-0.1,1.6,1.7
Austria,12/1/18,0.8,2.5,1.7
Austria,3/1/19,0.3,2,1.7
Austria,6/1/19,0.2,1.9,1.7
Austria,9/1/19,0.1,1.7,1.6
Austria,12/1/19,-0.7,0.9,1.6
Austria,3/1/20,#N/A,-2.7,#N/A
Azerbaijan,3/1/00,#N/A,#N/A,#N/A
Azerbaijan,6/1/00,#N/A,#N/A,#N/A
Azerbaijan,9/1/00,#N/A,#N/A,#N/A
Azerbaijan,12/1/00,#N/A,#N/A,#N/A
Azerbaijan,3/1/01,#N/A,#N/A,#N/A
Azerbaijan,6/1/01,#N/A,#N/A,#N/A
Azerbaijan,9/1/01,#N/A,#N/A,#N/A
Azerbaijan,12/1/01,#N/A,#N/A,#N/A
Azerbaijan,3/1/02,#N/A,#N/A,#N/A
Azerbaijan,6/1/02,#N/A,#N/A,#N/A
Azerbaijan,9/1/02,#N/A,#N/A,#N/A
Azerbaijan,12/1/02,#N/A,#N/A,#N/A
Azerbaijan,3/1/03,#N/A,#N/A,#N/A
Azerbaijan,6/1/03,#N/A,#N/A,#N/A
Azerbaijan,9/1/03,#N/A,#N/A,#N/A
Azerbaijan,12/1/03,#N/A,#N/A,#N/A
Azerbaijan,3/1/04,#N/A,#N/A,#N/A
Azerbaijan,6/1/04,#N/A,#N/A,#N/A
Azerbaijan,9/1/04,#N/A,#N/A,#N/A
Azerbaijan,12/1/04,#N/A,#N/A,#N/A
Azerbaijan,3/1/05,#N/A,#N/A,#N/A
Azerbaijan,6/1/05,#N/A,#N/A,#N/A
Azerbaijan,9/1/05,#N/A,#N/A,#N/A
Azerbaijan,12/1/05,#N/A,#N/A,#N/A
Azerbaijan,3/1/06,#N/A,#N/A,#N/A
Azerbaijan,6/1/06,#N/A,#N/A,#N/A
Azerbaijan,9/1/06,#N/A,#N/A,#N/A
Azerbaijan,12/1/06,#N/A,#N/A,#N/A
Azerbaijan,3/1/07,#N/A,#N/A,#N/A
Azerbaijan,6/1/07,#N/A,#N/A,#N/A
Azerbaijan,9/1/07,#N/A,#N/A,#N/A
Azerbaijan,12/1/07,#N/A,#N/A,#N/A
Azerbaijan,3/1/08,#N/A,#N/A,#N/A
Azerbaijan,6/1/08,#N/A,#N/A,#N/A
Azerbaijan,9/1/08,#N/A,#N/A,#N/A
Azerbaijan,12/1/08,#N/A,#N/A,#N/A
Azerbaijan,3/1/09,#N/A,#N/A,#N/A
Azerbaijan,6/1/09,#N/A,#N/A,#N/A
Azerbaijan,9/1/09,#N/A,#N/A,#N/A
Azerbaijan,12/1/09,#N/A,#N/A,#N/A
Azerbaijan,3/1/10,#N/A,#N/A,#N/A
Azerbaijan,6/1/10,#N/A,#N/A,#N/A
Azerbaijan,9/1/10,#N/A,#N/A,#N/A
Azerbaijan,12/1/10,#N/A,#N/A,#N/A
Azerbaijan,3/1/11,#N/A,#N/A,#N/A
Azerbaijan,6/1/11,#N/A,#N/A,#N/A
Azerbaijan,9/1/11,#N/A,#N/A,#N/A
Azerbaijan,12/1/11,#N/A,#N/A,#N/A
Azerbaijan,3/1/12,#N/A,#N/A,#N/A
Azerbaijan,6/1/12,#N/A,#N/A,#N/A
Azerbaijan,9/1/12,#N/A,#N/A,#N/A
Azerbaijan,12/1/12,#N/A,#N/A,#N/A
Azerbaijan,3/1/13,#N/A,#N/A,#N/A
Azerbaijan,6/1/13,#N/A,#N/A,#N/A
Azerbaijan,9/1/13,#N/A,#N/A,#N/A
Azerbaijan,12/1/13,#N/A,#N/A,#N/A
Azerbaijan,3/1/14,#N/A,#N/A,#N/A
Azerbaijan,6/1/14,#N/A,#N/A,#N/A
Azerbaijan,9/1/14,#N/A,#N/A,#N/A
Azerbaijan,12/1/14,#N/A,#N/A,#N/A
Azerbaijan,3/1/15,#N/A,#N/A,#N/A
Azerbaijan,6/1/15,#N/A,#N/A,#N/A
Azerbaijan,9/1/15,#N/A,#N/A,#N/A
Azerbaijan,12/1/15,#N/A,#N/A,#N/A
Azerbaijan,3/1/16,#N/A,#N/A,#N/A
Azerbaijan,6/1/16,#N/A,#N/A,#N/A
Azerbaijan,9/1/16,#N/A,#N/A,#N/A
Azerbaijan,12/1/16,#N/A,#N/A,#N/A
Azerbaijan,3/1/17,#N/A,#N/A,#N/A
Azerbaijan,6/1/17,#N/A,#N/A,#N/A
Azerbaijan,9/1/17,#N/A,#N/A,#N/A
Azerbaijan,12/1/17,#N/A,#N/A,#N/A
Azerbaijan,3/1/18,#N/A,#N/A,#N/A
Azerbaijan,6/1/18,#N/A,#N/A,#N/A
Azerbaijan,9/1/18,#N/A,#N/A,#N/A
Azerbaijan,12/1/18,#N/A,#N/A,#N/A
Azerbaijan,3/1/19,#N/A,#N/A,#N/A
Azerbaijan,6/1/19,#N/A,#N/A,#N/A
Azerbaijan,9/1/19,#N/A,#N/A,#N/A
Azerbaijan,12/1/19,#N/A,#N/A,#N/A
Azerbaijan,3/1/20,#N/A,#N/A,#N/A
Bahrain,3/1/00,#N/A,#N/A,#N/A
Bahrain,6/1/00,#N/A,#N/A,#N/A
Bahrain,9/1/00,#N/A,#N/A,#N/A
Bahrain,12/1/00,#N/A,#N/A,#N/A
Bahrain,3/1/01,#N/A,#N/A,#N/A
Bahrain,6/1/01,#N/A,#N/A,#N/A
Bahrain,9/1/01,#N/A,#N/A,#N/A
Bahrain,12/1/01,#N/A,#N/A,#N/A
Bahrain,3/1/02,#N/A,#N/A,#N/A
Bahrain,6/1/02,#N/A,#N/A,#N/A
Bahrain,9/1/02,#N/A,#N/A,#N/A
Bahrain,12/1/02,#N/A,#N/A,#N/A
Bahrain,3/1/03,#N/A,#N/A,#N/A
Bahrain,6/1/03,#N/A,#N/A,#N/A
Bahrain,9/1/03,#N/A,#N/A,#N/A
Bahrain,12/1/03,#N/A,#N/A,#N/A
Bahrain,3/1/04,#N/A,#N/A,#N/A
Bahrain,6/1/04,#N/A,#N/A,#N/A
Bahrain,9/1/04,#N/A,#N/A,#N/A
Bahrain,12/1/04,#N/A,#N/A,#N/A
Bahrain,3/1/05,#N/A,#N/A,#N/A
Bahrain,6/1/05,#N/A,#N/A,#N/A
Bahrain,9/1/05,#N/A,#N/A,#N/A
Bahrain,12/1/05,#N/A,#N/A,#N/A
Bahrain,3/1/06,#N/A,#N/A,#N/A
Bahrain,6/1/06,#N/A,#N/A,#N/A
Bahrain,9/1/06,#N/A,#N/A,#N/A
Bahrain,12/1/06,#N/A,#N/A,#N/A
Bahrain,3/1/07,#N/A,#N/A,#N/A
Bahrain,6/1/07,#N/A,#N/A,#N/A
Bahrain,9/1/07,#N/A,#N/A,#N/A
Bahrain,12/1/07,#N/A,#N/A,#N/A
Bahrain,3/1/08,#N/A,#N/A,#N/A
Bahrain,6/1/08,#N/A,#N/A,#N/A
Bahrain,9/1/08,#N/A,#N/A,#N/A
Bahrain,12/1/08,#N/A,#N/A,#N/A
Bahrain,3/1/09,#N/A,2.1,#N/A
Bahrain,6/1/09,#N/A,1.5,#N/A
Bahrain,9/1/09,#N/A,2.7,#N/A
Bahrain,12/1/09,#N/A,3.9,#N/A
Bahrain,3/1/10,#N/A,0.8,#N/A
Bahrain,6/1/10,#N/A,3.8,#N/A
Bahrain,9/1/10,#N/A,1.4,#N/A
Bahrain,12/1/10,#N/A,11.3,#N/A
Bahrain,3/1/11,#N/A,4.6,#N/A
Bahrain,6/1/11,#N/A,2.1,#N/A
Bahrain,9/1/11,#N/A,4.6,#N/A
Bahrain,12/1/11,#N/A,-3,#N/A
Bahrain,3/1/12,#N/A,5.2,#N/A
Bahrain,6/1/12,#N/A,3.1,#N/A
Bahrain,9/1/12,#N/A,3.4,#N/A
Bahrain,12/1/12,#N/A,3.2,#N/A
Bahrain,3/1/13,#N/A,4.6,#N/A
Bahrain,6/1/13,#N/A,5.7,#N/A
Bahrain,9/1/13,#N/A,5.8,#N/A
Bahrain,12/1/13,#N/A,5.6,#N/A
Bahrain,3/1/14,#N/A,3.1,#N/A
Bahrain,6/1/14,#N/A,5.3,#N/A
Bahrain,9/1/14,#N/A,5,#N/A
Bahrain,12/1/14,#N/A,4,#N/A
Bahrain,3/1/15,#N/A,2.9,#N/A
Bahrain,6/1/15,#N/A,3.2,#N/A
Bahrain,9/1/15,#N/A,2.3,#N/A
Bahrain,12/1/15,#N/A,2.9,#N/A
Bahrain,3/1/16,#N/A,4.6,#N/A
Bahrain,6/1/16,#N/A,2.7,#N/A
Bahrain,9/1/16,#N/A,4.3,#N/A
Bahrain,12/1/16,#N/A,2.4,#N/A
Bahrain,3/1/17,#N/A,4.9,#N/A
Bahrain,6/1/17,#N/A,4.7,#N/A
Bahrain,9/1/17,#N/A,3,#N/A
